Serie N.º 5;Serie N.º 5
Tiempo (s);Fuerza (N)
0,000;0,10
0,200;0,10
0,400;0,10
0,600;0,10
0,800;0,10
1,000;0,10
1,200;0,10
1,400;0,10
1,600;0,10
1,800;0,10
2,000;0,10
2,200;0,06
2,400;0,10
2,600;0,10
2,800;0,10
3,000;0,06
3,200;0,10
3,400;0,10
3,600;0,10
3,800;0,10
4,000;0,10
4,200;0,10
4,400;0,10
4,600;0,10
4,800;0,10
5,000;0,10
5,200;0,10
5,400;0,10
5,600;0,10
5,800;0,10
6,000;0,10
6,200;0,10
6,400;0,10
6,600;0,10
6,800;0,10
7,000;0,10
7,200;0,13
7,400;0,10
7,600;0,10
7,800;0,10
8,000;0,10
8,200;0,06
8,400;0,06
8,600;0,10
8,800;0,10
9,000;0,10
9,200;0,10
9,400;0,10
9,600;0,10
9,800;0,10
10,000;0,10
10,200;0,10
10,400;0,10
10,600;0,10
10,800;0,10
11,000;0,10
11,200;0,10
11,400;0,10
11,600;0,10
11,800;0,06
12,000;0,10
12,200;0,10
12,400;0,10
12,600;0,10
12,800;0,10
13,000;0,10
13,200;0,10
13,400;0,10
13,600;0,10
13,800;0,10
14,000;0,10
14,200;0,10
14,400;0,10
14,600;0,10
14,800;0,10
15,000;0,10
15,200;0,10
15,400;0,10
15,600;0,10
15,800;0,10
16,000;0,10
16,200;0,10
16,400;0,10
16,600;0,10
16,800;0,10
17,000;0,10
17,200;0,10
17,400;0,10
17,600;0,10
17,800;0,10
18,000;0,10
18,200;0,10
18,400;0,10
18,600;0,10
18,800;0,10
19,000;0,10
19,200;0,10
19,400;0,10
19,600;0,10
19,800;0,10
20,000;0,10
20,200;0,10
20,400;0,10
20,600;0,10
20,800;0,10
21,000;0,10
21,200;0,10
21,400;0,06
21,600;0,10
21,800;0,10
22,000;0,10
22,200;0,10
22,400;0,10
22,600;0,10
22,800;0,10
23,000;0,10
23,200;0,10
23,400;0,10
23,600;0,10
23,800;0,10
24,000;0,10
24,200;0,10
24,400;0,10
24,600;0,10
24,800;0,10
25,000;0,10
25,200;0,10
25,400;0,10
25,600;0,10
25,800;0,10
26,000;0,10
26,200;0,10
26,400;0,10
26,600;0,10
26,800;0,10
27,000;0,10
27,200;0,10
27,400;0,10
27,600;0,10
27,800;0,10
28,000;0,10
28,200;0,13
28,400;0,10
28,600;0,10
28,800;0,13
29,000;0,10
29,200;0,10
29,400;0,10
29,600;0,10
29,800;0,10
30,000;0,10
30,200;0,10
30,400;0,10
30,600;0,13
30,800;0,13
31,000;0,13
31,200;0,13
31,400;0,10
31,600;0,10
31,800;0,10
32,000;0,10
32,200;0,10
32,400;0,10
32,600;0,10
32,800;0,10
33,000;0,10
33,200;0,10
33,400;0,13
33,600;0,10
33,800;0,10
34,000;0,10
34,200;0,13
34,400;0,10
34,600;0,10
55,000;0,29
55,200;0,25
55,400;0,29
55,600;0,29
55,800;0,29
56,000;0,29
56,200;0,29
56,400;0,29
56,600;0,29
56,800;0,29
57,000;0,29
57,200;0,29
57,400;0,29
57,600;0,29
57,800;0,29
58,000;0,32
58,200;0,29
58,400;0,29
58,600;0,29
58,800;0,29
59,000;0,29
59,200;0,29
59,400;0,29
59,600;0,29
59,800;0,29
60,000;0,29
60,200;0,29
60,400;0,29
60,600;0,29
60,800;0,29
61,000;0,29
61,200;0,29
61,400;0,29
61,600;0,29
61,800;0,29
62,000;0,29
62,200;0,29
62,400;0,29
62,600;0,29
62,800;0,29
63,000;0,29
63,200;0,29
63,400;0,29
63,600;0,29
63,800;0,29
64,000;0,29
64,200;0,29
64,400;0,29
64,600;0,29
64,800;0,29
65,000;0,29
65,200;0,29
65,400;0,29
65,600;0,29
65,800;0,29
66,000;0,29
66,200;0,29
66,400;0,29
66,600;0,25
66,800;0,29
67,000;0,29
67,200;0,29
67,400;0,29
67,600;0,29
67,800;0,29
68,000;0,29
68,200;0,29
68,400;0,29
68,600;0,29
68,800;0,29
69,000;0,29
69,200;0,29
